created,text,retwc,hashtag,followers,friends
2016-11-06 22:15:02,b'1980 Moscow Olympic Poster Original Misha by SquirrelAwayVintage https://t.co/mmMexZkiKs via Etsy #olympics\xe2\x80\xa6 https://t.co/MqcJp53Yza',0,olympics,99,96
2016-11-06 22:14:39,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,522,223
2016-11-06 22:14:36,b'RT @brbrasseur: Loving my third trip to this jaw dropping city during the #Olympics! #Rio2016 https://t.co/V0KZMgP5eM',50,Olympics,78723,14620
2016-11-06 22:14:36,"b""RT @KiTara_H24: Had a great time this weekend at special olympics with these guys \xf0\x9f\x98\x8a\xf0\x9f\x92\x98 can't wait til next time! https://t.co/iMONxfCHub""",1,None,9,45
2016-11-06 22:14:32,"b'@PatrickRuffini What if a mature problem-solver (Olympics), Romney, leads RNC &amp; turns GOP around?  We would lose Alt-Right and that is good.'",0,None,1215,1289
2016-11-06 22:14:12,b'@matthewcpinsent can we *please* have Sweary Pinsent as a red button commentary option at the next Olympics? #cocksocket',0,cocksocket,66,670
2016-11-06 22:14:09,"b""@barcagalaxy I think the 2016 Olympics has helped to cement Neymar's legacy as one of the best in football history \xf0\x9f\x91\x8d""",0,None,31788,31709
2016-11-06 22:13:36,b'RT @Ton_039: Getting my young boi ready for the Olympics \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xadthis Mf strong as hell https://t.co/mfcVdMzLlP',26643,None,68,155
2016-11-06 22:13:35,"b'RT @azecca1: Ghirmay Ghebreslassie, 20, youngest male to win New York City Marathon https://t.co/AeFV4MKWfY via @usatoday proud of u  Ghirm\xe2\x80\xa6'",3,None,107,128
2016-11-06 22:13:35,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,647,1072
2016-11-06 22:13:14,b'Gwen Jorgensen unhappy with New York City Marathon result https://t.co/e3aUK6z73q via @chatsports #Rio2016',0,Rio2016,33,108
2016-11-06 22:13:06,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,496,578
2016-11-06 22:12:47,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,32,31
2016-11-06 22:12:39,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,376,575
2016-11-06 22:12:19,"b""RT @jay_cheer1: Our Special Olympics participants were recognized at tonight's game! #JohnJayStrong @NISDJay @NISDJaySEA @JayMustangFB http\xe2\x80\xa6""",44,JohnJayStrong,374,344
2016-11-06 22:12:17,b'RT @MaxPreps: Sign @TazhawnHeny up for the 2020 Olympics immediately \xf0\x9f\x98\xb3 #AllTheWayUp https://t.co/xGiFELCE5Q',756,AllTheWayUp,270,98
2016-11-06 22:12:16,b'RT @Louis_Tomlinson: Unbelievable memories ! https://t.co/P8cfKPN0Bw',100701,None,3419,3312
2016-11-06 22:12:06,b'kaomika: going to the olympics together\nhttps://t.co/qdGWav0tny\n\nimagine the ride this is amazing',0,None,245,212
2016-11-06 22:11:48,b'I added a video to a @YouTube playlist https://t.co/SlK2MIzWvh RAGDOLL OLYMPICS | Stuntfest #3',0,None,8,22
2016-11-06 22:11:36,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,209,279
2016-11-06 22:11:17,b'Technology and Scandals From The Olympics https://t.co/HNXMhRRXAv',0,None,686,5
2016-11-06 22:11:16,"b""RT @CBCOlympics: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7's Elise Christie wins gold in women's 500m and \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6's Jamie Macdonald takes the silver https://t.co/qyqDMOnFRi https://t.\xe2\x80\xa6""",5,None,52,558
2016-11-06 22:11:09,b'RT @sportsthread: I have no idea what the hell sport this might be but it should be in the olympics \xf0\x9f\x98\x82 \xf0\x9f\x8f\x86\nhttps://t.co/9CHUNmhT3Y',42,None,325,252
2016-11-06 22:10:56,"b""Had a great time this weekend at special olympics with these guys \xf0\x9f\x98\x8a\xf0\x9f\x92\x98 can't wait til next time! https://t.co/iMONxfCHub""",1,None,117,145
2016-11-06 22:10:47,b'Packers special teams looks more like the special olympics',0,None,242,287
2016-11-06 22:10:45,b'RT @Gymtertainment: What inspired @knduranczyk to start gymnastics? Watching @CoachEliseRay at the Olympics! https://t.co/zsP2U9pYKJ',2,None,530,95
2016-11-06 22:10:43,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,610,627
2016-11-06 22:10:16,"b""\xf0\x9f\x87\xac\xf0\x9f\x87\xa7's Elise Christie wins gold in women's 500m and \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6's Jamie Macdonald takes the silver https://t.co/Prxpe8GSsi https://t.co/xjQZl9u6fa #\xe2\x80\xa6""",0,None,1270,4801
2016-11-06 22:10:15,"b""What's the Deal With... Fire extinguishers on ice? KellyVanderBeek has the inside scoop!\nhttps://t.co/Ur5gbge3uq\n https://t.co/ftZLIEor7V\xe2\x80\xa6""",0,None,1270,4801
2016-11-06 22:10:12,"b'Beijing 2008 NBC Olympics #dvd, 2008 + Unfiltered Michael Phelps Swim With Stars https://t.co/heABdaMO0C https://t.co/qKFFDFAuLR'",0,dvd,1442,35
2016-11-06 22:10:05,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,217,550
2016-11-06 22:10:03,b'the olympics was real good this year',0,None,35524,13879
2016-11-06 22:10:02,b'The Government is betraying the legacy of the London Olympics says @TimFarron https://t.co/fMHuBDhbFw',0,None,2715,1574
2016-11-06 22:09:56,b'RT @JacobSpeaks_: Temple football cheering on some weight lifters at the Special Olympics #WeTheT #GDQ @TU_SAAC https://t.co/ripYr1hsDT',7,WeTheT,51,60
2016-11-06 22:09:53,"b'RT @COLRICHARDKEMP: Abbas: Misused billions of aid $s, funded Munich Olympics massacre, denied holocaust, incited terrorism. Wants us to ap\xe2\x80\xa6'",146,None,143,267
2016-11-06 22:09:51,b'RT @Ton_039: Getting my young boi ready for the Olympics \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\xadthis Mf strong as hell https://t.co/mfcVdMzLlP',26643,None,1683,1022
2016-11-06 22:09:36,b'Complete Coverage of Gators at the Olympics on Aug. 16 #FloridaGators #UFGators #GatorNation https://t.co/esQPCJ5wu6 https://t.co/W3G4F5kxxY',0,FloridaGators,4968,5398
2016-11-06 22:09:11,"b""RT @CBCOlympics: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7's Elise Christie wins gold in women's 500m and \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6's Jamie Macdonald takes the silver https://t.co/qyqDMOnFRi https://t.\xe2\x80\xa6""",5,None,759,550
2016-11-06 22:09:08,b'The 25 Most #Inspirational #Olympics Ads Ever Created. Get your tissues ready. https://t.co/nxCV1Zc2rZ via @ASmallOrange #olympicads',0,Inspirational,87,27
2016-11-06 22:09:01,"b""RT @CBCOlympics: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7's Elise Christie wins gold in women's 500m and \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6's Jamie Macdonald takes the silver https://t.co/qyqDMOnFRi https://t.\xe2\x80\xa6""",5,None,118,453
2016-11-06 22:08:58,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,172,474
2016-11-06 22:08:44,b'RT @NBCSports: Mary Keitany wins third straight NYC Marathon in rout; Molly Huddle makes podium https://t.co/wToh9Aa3Uw https://t.co/wRhbWG\xe2\x80\xa6',11,None,24634,1425
2016-11-06 22:08:34,"b""RT @CBCOlympics: \xf0\x9f\x87\xac\xf0\x9f\x87\xa7's Elise Christie wins gold in women's 500m and \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6's Jamie Macdonald takes the silver https://t.co/qyqDMOnFRi https://t.\xe2\x80\xa6""",5,None,1427,2302
2016-11-06 22:08:22,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,222,460
2016-11-06 22:08:15,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,395,603
2016-11-06 22:08:14,b'RT @PSWHuntingdon: Congrats to Angelo who placed 4th in the bocce tournament at Special Olympics! Way to be BEARCAT and represent HAHS! \xf0\x9f\x94\xb5\xf0\x9f\x94\xb4\xf0\x9f\x90\xbe\xf0\x9f\x8f\x86',2,None,214,297
2016-11-06 22:08:13,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,678,479
2016-11-06 22:07:45,"b'RT @BubbaBrix: Happy birthday, M&amp;S Olympics ^D^\n\nWhile I love the London 2012 game, I have a strong dislike for the original :/ it sucks ba\xe2\x80\xa6'",1,None,341,396
2016-11-06 22:07:43,b'RT @BsbLifestyle__: Baseball will be back in the 2020 Olympics \xe2\x9a\xbe\xef\xb8\x8f\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f https://t.co/yAKB5tth3M',525,None,261,344
