created,text,retwc,hashtag,followers,friends
2016-11-14 22:54:27,b'RT @Doogi_: Melania Trump is sticking to script\xe2\x80\xa6 Literally. https://t.co/DUHMNKvxYh',5559,None,397,190
2016-11-14 22:54:27,"b""RT @JaredWyand: Trump is picking people with specific skill sets to tackle specific obstacles. We won't understand all the why's. He obsess\xe2\x80\xa6""",523,None,58,221
2016-11-14 22:54:27,b'@HalpernAlex @ericandre what did you expect after trump hired openly antisemitic cretin Bannon as chief strategist? Smh...',0,None,354,48
2016-11-14 22:54:27,b'RT @brinsoncason: Trump: Can I come in?\nJoe: Name 5 brothers https://t.co/oISfU5Gai0',5453,None,431,166
2016-11-14 22:54:27,"b'RT @ABC: Video shows people smashing the windows of cars and businesses during anti-Donald Trump protest in Portland, Oregon. https://t.co/\xe2\x80\xa6'",2895,None,3986,3963
2016-11-14 22:54:27,"b'RT @vaurorapub: These are the actions I have taken to prepare for a Trump administration. If you trust my judgement, take a look https://t.\xe2\x80\xa6'",70,None,4258,4154
2016-11-14 22:54:27,"b""RT @GreggWGME: Are these the same children to whom he says he's turning over all of his business interests???\n#Trump https://t.co/dYz1rT1Z6b""",2,Trump,4368,793
2016-11-14 22:54:27,"b'RT @RedAlert: Student attacked for carrying Trump flag: School blames him, not attackers https://t.co/Lgx4gPL1O8 via @calebecarma https://t\xe2\x80\xa6'",18,None,118,59
2016-11-14 22:54:27,"b'RT @ajplus: You need these ""Joe Biden against Trump"" memes in your life.\n\nHappy Monday! https://t.co/WhVhvCfVbS'",3134,None,198,168
2016-11-14 22:54:27,b'RT @SenSanders: Climate change is not a hoax. It\xe2\x80\x99s a threat to this entire planet. Trump better start listening to scientists and not fossi\xe2\x80\xa6',11899,None,828,1214
2016-11-14 22:54:27,"b'RT @radiobiafralive: BIAFRA: Trump blocks Nigeria from buying jet fighters from Brazil: Sunday 13 November, 2016\xe2\x80\xa6 https://t.co/pQA9KTa3jd'",359,None,1505,2193
2016-11-14 22:54:27,b'I am looking forward to reading many more tweets by President-elect Donald J. Trump after he takes office as President.\n#TrumpTweets',0,TrumpTweets,853,1499
2016-11-14 22:54:27,"b""RT @dangillmor: Journalists: Normalizing Trump because he's president-elect means normalizing racism, misogynism, deceit, hatred of free sp\xe2\x80\xa6""",193,None,5932,5834
2016-11-14 22:54:27,"b'LAPD Chief Refuses President-Elect Trump\'s Immigration Plan: ""We\'re Not Going To Help Deportation Efforts"" | Ze https://t.co/2tpjQIqYtF'",0,None,170,375
2016-11-14 22:54:27,b'RT @Brilliant_Ads: Trump Bus https://t.co/MhtCb0Iz4c',5,None,322,1003
2016-11-14 22:54:27,"b'RT @BuzzFeedNews: .@POTUS on what happens after Trump takes office: ""If things get worse, then the American people will figure that out qui\xe2\x80\xa6'",378,None,97,507
2016-11-14 22:54:27,"b'RT @VaughnHillyard: Trump does not commit to calling special prosecutor against Clinton: ""I\'m going to think about it. I want to focus on j\xe2\x80\xa6'",146,None,426,694
2016-11-14 22:54:27,b'RT @Doogi_: Melania Trump is sticking to script\xe2\x80\xa6 Literally. https://t.co/DUHMNKvxYh',5559,None,80,83
2016-11-14 22:54:27,b'RT @SenSanders: Steve Bannon\xe2\x80\x99s appointment should make us very nervous. We\xe2\x80\x99re going to tell him and Trump that we will stand together and n\xe2\x80\xa6',5772,None,1812,3621
2016-11-14 22:54:26,b'RT @brinsoncason: Trump: Can I come in?\nJoe: Name 5 brothers https://t.co/oISfU5Gai0',5453,None,471,280
2016-11-14 22:54:26,"b'Let me explain it to you. Any coverage of Mr. Trump that does not refer to sexism, racism, misogyny, or climate den\xe2\x80\xa6 https://t.co/cmaffFC1Mc'",0,None,114,216
2016-11-14 22:54:26,"b'RT @SenSanders: Sorry, Mr. Trump. The future of the planet is more important than the short-term profits of the oil, coal and gas industrie\xe2\x80\xa6'",7144,None,2411,3152
2016-11-14 22:54:26,"b""RT @GreggWGME: Are these the same children to whom he says he's turning over all of his business interests???\n#Trump https://t.co/dYz1rT1Z6b""",2,Trump,51124,7691
2016-11-14 22:54:26,b'RT @matthewstoller: I feel like Trump is going to find a way to appoint Dan Snyder to the newly created position in charge of renaming all\xe2\x80\xa6',4,None,142,258
2016-11-14 22:54:26,"b'RT @ajplus: You need these ""Joe Biden against Trump"" memes in your life.\n\nHappy Monday! https://t.co/WhVhvCfVbS'",3134,None,5505,3555
2016-11-14 22:54:26,b'RT @DeplorableBoss: Nov 8th - Love Trumps Hate\nNov 9th - Die Whites Die\nRioting racist Democrat #SNOWFLAKES like @VanJones68 peacefully cha\xe2\x80\xa6',945,SNOWFLAKES,22,80
2016-11-14 22:54:26,"b'RT @IMPL0RABLE: LAPD will NOT help deport immigrants under Trump, police chief says: https://t.co/pZ6k8UTPHV #TrumpProtest #AntiTrump #Unit\xe2\x80\xa6'",20,TrumpProtest,7,14
2016-11-14 22:54:26,b'RT @grandmafan58: @FoxNews it just came in Trump has won both electoral and popular vote stop saying Hillary did that is a lie',1,None,416,157
2016-11-14 22:54:26,"b'RT @TimRunsHisMouth: Watch out-of-touch elitist comedian Wanda Sykes get booed by an arena for calling a #Trump racist/sexist, then tell th\xe2\x80\xa6'",772,Trump,1828,1992
2016-11-14 22:54:26,b'RT @goldengateblond: Pop quiz for everyone who said Clinton and Trump were exactly the same: Which white supremacist would she have hired?',165,None,56,143
2016-11-14 22:54:26,b'RT @DavidJo52951945: Trump to bring back Churchill statue SHAMEFULLY removed from White House by Barack Obama https://t.co/AavIKYVwGX',507,None,702,891
2016-11-14 22:54:26,b'RT @umplsdont: Trump:244\nClinton:209\nBlink:182',351,None,369,368
2016-11-14 22:54:26,b'RT @PaulBlu: Unprecedented conflicts of interest abound in a Donald Trump presidency https://t.co/g2mofIbJIh',27,None,144,186
